Interesting features of the instances:
p    = number of subgraphs
n    = number of vertices
m    = number of edges
LB   = value of the combinatorial lower bound
BK   = value of the upper bound (best known result obtained in the whole experimental campaign)
ALNS = value obtained by the best parameter tuning of the ALNS algorithm
mTS  = value obtained by the best parameter tuning of the mTS algorithm

Instance        p      n         m     LB      BK    ALNS     mTS
n300d06p2i4    17    300     59800    229     231     231     233
n300d06p2i5    17    300     59800    234     234     234     235
n300d06p3i1    53    300     59800    161     164     166     170
n300d06p3i2    53    300     59800    156     160     161     167
n300d06p3i3    53    300     59800    150     157     160     167
n300d06p3i4    53    300     59800    147     159     160     166
n300d06p3i5    53    300     59800    152     161     162     169
n400plap1i1     6    400      2310    368     399     399     399
n400plap1i2     6    400      2272    369     402     402     402
n400plap1i3     6    400      2274    373     400     400     400
n400plap1i4     6    400      2302    369     398     398     398
n400plap1i5     6    400      2316    372     397     397     397
n400plap2i1    20    400      2310    314     425     425     435
n400plap2i2    20    400      2272    312     438     438     463
n400plap2i3    20    400      2274    322     435     435     439
n400plap2i4    20    400      2302    317     425     425     432
n400plap2i5    20    400      2316    322     421     421     427
n400plap3i1    67    400      2310    207     819     819    1069
n400plap3i2    67    400      2272    202     988    1074    1342
n400plap3i3    67    400      2274    211     947    1200    1194
n400plap3i4    67    400      2302    208     893     893    1252
n400plap3i5    67    400      2316    213     883     883    1034
n400d03p1i1     6    400     53200    369     369     372     371
n400d03p1i2     6    400     53200    374     376     376     376
n400d03p1i3     6    400     53200    368     368     368     368
n400d03p1i4     6    400     53200    365     365     367     365
n400d03p1i5     6    400     53200    375     375     375     376
n400d03p2i1    20    400     53200    324     325     325     332
n400d03p2i2    20    400     53200    319     327     328     334
n400d03p2i3    20    400     53200    317     320     320     334
n400d03p2i4    20    400     53200    307     311     311     314
n400d03p2i5    20    400     53200    328     328     328     335
n400d03p3i1    67    400     53200    218     261     267     277
n400d03p3i2    67    400     53200    208     261     269     282
n400d03p3i3    67    400     53200    205     270     280     281
n400d03p3i4    67    400     53200    195     254     256     267
n400d03p3i5    67    400     53200    221     269     274     282
n400d06p1i1     6    400    106400    376     376     377     376
n400d06p1i2     6    400    106400    373     373     374     373
n400d06p1i3     6    400    106400    367     367     367     367
n400d06p1i4     6    400    106400    374     374     374     375
n400d06p1i5     6    400    106400    369     369     370     370
n400d06p2i1    20    400    106400    330     332     332     335
n400d06p2i2    20    400    106400    325     325     325     332
n400d06p2i3    20    400    106400    320     320     320     322
n400d06p2i4    20    400    106400    318     318     318     323
n400d06p2i5    20    400    106400    321     321     321     323
n400d06p3i1    67    400    106400    219     229     230     241
n400d06p3i2    67    400    106400    218     220     220     230
n400d06p3i3    67    400    106400    213     218     218     229
n400d06p3i4    67    400    106400    206     215     216     222
n400d06p3i5    67    400    106400    217     217     218     224
